"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""Region = S. and SE. Asia and Indian Ocean""]"																																						
	1941	6	26	11	52	3.7	1746		"INDIA:  ANDAMAN ISLANDS,MADRAS; SRI LANKA:  COLOMBO"	11.94	92.626	20	8			1				1		4		4				1				1		4		4		
	1942	11	10	11	41	27			"SOUTH AFRICA:  PRINCE EDWARD ISLAND"	-49.5	32	25	7.9																									
	1943	6	9	3	6	22			"INDONESIA:  S SUMATERA"	-1	101	50	7.6																									
	1943	7	23	14	53	9			"INDONESIA:   JAVA:  JOGYAKARTA"	-9.5	110	90	8.1	8	213	3			2096	4		3			2800	4	213	3			2096	4		3			2800	4
	1943	10	23			0			"MYANMAR (BURMA)"	21.5	93.5		7.2									2																
	1944	3	22	0	43	18			"INDONESIA:  FLORES"	-8.5	123.5	220	7.5																									
	1945	11	27	21	56	50	1761		"PAKISTAN:  MAKRAN COAST"	24.5	63	15	8	10	4000	4					25	4					4000	4					25	4				
	1946	9	12	15	17	17			"MYANMAR (BURMA)"	23.9	96.2	60	7.5																									
	1946	9	12	15	20	23			"MYANMAR (BURMA)"	23.9	96.2	60	7.8																									
	1947	7	29	13	43	22			"INDIA-CHINA"	28.5	94	60	7.9																									
	1947	8	5	14	24	10			"PAKISTAN:  GWADAR"	25.5	63		7.6																									
	1948	6	2	18	58	18	1783		"INDONESIA:  OFF NORTHWEST COAST"	6	95		6.2																									
